Gen 1:1
ἐγὼ RP--NS---- ἐγώ
ἰδοὺ I--------- ἰδού
ἀνίστημι V6--PAI1S- ἵστημι ἀνα
τὴν RA--ASF--- ὁ
διαθήκην N1--ASF--- διαθήκη
μου RP--GS---- ἐγώ
ὑμῖν RP--DP---- σύ
καὶ C--------- καί
τῷ RA--DSN--- ὁ
σπέρματι N3M-DSN--- σπέρμα
ὑμῶν RP--GP---- σύ
μεθ' P--------- μετά
ὑμᾶς RP--AP---- σύ

Gen 9:10
καὶ C--------- καί
πάσῃ A1S-DSF--- πᾶς
ψυχῇ N1--DSF--- ψυχή
τῇ RA--DSF--- ὁ
ζώσῃ V3--PAPDSF ζάω
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
ἀπὸ P--------- ἀπό
ὀρνέων N3I-GPN--- ὄρνεον
καὶ C--------- καί
ἀπὸ P--------- ἀπό
κτηνῶν N3E-GPN--- κτῆνος
καὶ C--------- καί
πᾶσι A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
θηρίοις N2N-DPN--- θηρίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὅσα A1--NPN--- ὅσος
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
ἀπὸ P--------- ἀπό
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
ἐξελθόντων VB--AAPGPM ἔρχομαι ἐκ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
κιβωτοῦ N2--GSF--- κιβωτός

Gen 9:11
καὶ C--------- καί
στήσω VF--FAI1S- ἵστημι
τὴν RA--ASF--- ὁ
διαθήκην N1--ASF--- διαθήκη
μου RP--GS---- ἐγώ
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
οὐκ D--------- οὐ
ἀποθανεῖται VF2-FMI3S- θνήσκω ἀπο
πᾶσα A1S-NSF--- πᾶς
σὰρξ N3K-NSF--- σάρξ
ἔτι D--------- ἔτι
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
ὕδατος N3T-GSN--- ὕδωρ
τοῦ RA--GSM--- ὁ
κατακλυσμοῦ N2--GSM--- κατακλυσμός
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ἔτι D--------- ἔτι
κατακλυσμὸς N2--NSM--- κατακλυσμός
ὕδατος N3T-GSN--- ὕδωρ
τοῦ RA--GSN--- ὁ
καταφθεῖραι VA--AAN--- φθείρω κατα
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ

Gen 9:12
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
πρὸς P--------- πρός
Νωε N---ASM--- Νωε
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
σημεῖον N2N-NSN--- σημεῖον
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
ὃ RR--ASN--- ὅς
ἐγὼ RP--NS---- ἐγώ
δίδωμι V8--PAI1S- δίδωμι
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
πάσης A1S-GSF--- πᾶς
ψυχῆς N1--GSF--- ψυχή
ζώσης V3--PAPGSF ζάω
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
εἰς P--------- εἰς
γενεὰς N1A-APF--- γενεά
αἰωνίους A1B-APF--- αἰώνιος

Gen 9:13
τὸ RA--ASN--- ὁ
τόξον N2N-ASN--- τόξον
μου RP--GS---- ἐγώ
τίθημι V7--PAI1S- τίθημι
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
νεφέλῃ N1--DSF--- νεφέλη
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
εἰς P--------- εἰς
σημεῖον N2N-ASN--- σημεῖον
διαθήκης N1--GSF--- διαθήκη
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 9:14
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
συννεφεῖν V2--PAN--- νεφέω συν
με RP--AS---- ἐγώ
νεφέλας N1--APF--- νεφέλη
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ὀφθήσεται VV--FPI3S- ὁράω
τὸ RA--ASN--- ὁ
τόξον N2N-ASN--- τόξον
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
νεφέλῃ N1--DSF--- νεφέλη

Gen 9:15
καὶ C--------- καί
μνησθήσομαι VS--FPI1S- μιμνήσκω
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
μου RP--GS---- ἐγώ
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
πάσης A1S-GSF--- πᾶς
ψυχῆς N1--GSF--- ψυχή
ζώσης V3--PAPGSF ζάω
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
σαρκί N3K-DSF--- σάρξ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ἔτι D--------- ἔτι
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
εἰς P--------- εἰς
κατακλυσμὸν N2--ASM--- κατακλυσμός
ὥστε C--------- ὥστε
ἐξαλεῖψαι VA--AAN--- ἀλείφω ἐκ
πᾶσαν A1S-ASF--- πᾶς
σάρκα N3K-ASF--- σάρξ

Gen 9:16
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
τὸ RA--NSN--- ὁ
τόξον N2N-NSN--- τόξον
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
νεφέλῃ N1--DSF--- νεφέλη
καὶ C--------- καί
ὄψομαι VF--FMI1S- ὁράω
τοῦ RA--GSN--- ὁ
μνησθῆναι VS--APN--- μιμνήσκω
διαθήκην N1--ASF--- διαθήκη
αἰώνιον A1B-ASF--- αἰώνιος
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
πάσης A1S-GSF--- πᾶς
ψυχῆς N1--GSF--- ψυχή
ζώσης V3--PAPGSF ζάω
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
σαρκί N3K-DSF--- σάρξ
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 9:17
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῷ RA--DSM--- ὁ
Νωε N---DSM--- Νωε
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
σημεῖον N2N-NSN--- σημεῖον
τῆς RA--GSF--- ὁ
διαθήκης N1--GSF--- διαθήκη
ἧς RR--GSF--- ὅς
διεθέμην VEI-AMI1S- τίθημι δια
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
πάσης A1S-GSF--- πᾶς
σαρκός N3K-GSF--- σάρξ
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 9:18
ἦσαν V9--IAI3P- εἰμί
δὲ X--------- δέ
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Νωε N---GSM--- Νωε
οἱ RA--NPM--- ὁ
ἐξελθόντες VB--AAPNPM ἔρχομαι ἐκ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
κιβωτοῦ N2--GSF--- κιβωτός
Σημ N---NSM--- Σημ
Χαμ N---NSM--- Χαμ
Ιαφεθ N---NSM--- Ιαφεθ
Χαμ N---NSM--- Χαμ
ἦν V9--IAI3S- εἰμί
πατὴρ N3--NSM--- πατήρ
Χανααν N---GSM--- Χανααν

Gen 9:19
τρεῖς A3--NPM--- τρεῖς
οὗτοί RD--NPM--- οὗτος
εἰσιν V9--PAI3P- εἰμί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Νωε N---GSM--- Νωε
ἀπὸ P--------- ἀπό
τούτων RD--GPM--- οὗτος
διεσπάρησαν VDI-API3P- σπείρω δια
ἐπὶ P--------- ἐπί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ

Gen 9:20
καὶ C--------- καί
ἤρξατο VAI-AMI3S- ἄρχω
Νωε N---NSM--- Νωε
ἄνθρωπος N2--NSM--- ἄνθρωπος
γεωργὸς N2--NSM--- γεωργός
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐφύτευσεν VAI-AAI3S- φυτεύω
ἀμπελῶνα N3W-ASM--- ἀμπελών

Gen 9:21
καὶ C--------- καί
ἔπιεν VBI-AAI3S- πίνω
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οἴνου N2--GSM--- οἶνος
καὶ C--------- καί
ἐμεθύσθη VSI-API3S- μεθύω
καὶ C--------- καί
ἐγυμνώθη VCI-API3S- γυμνόω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός

Gen 9:22
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
Χαμ N---NSM--- Χαμ
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
Χανααν N---GSM--- Χανααν
τὴν RA--ASF--- ὁ
γύμνωσιν N3I-ASF--- γύμνωσις
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐξελθὼν VB--AAPNSM ἔρχομαι ἐκ
ἀνήγγειλεν VAI-AAI3S- ἀγγέλλω ἀνα
τοῖς RA--DPM--- ὁ
δυσὶν M---DPM--- δύο
ἀδελφοῖς N2--DPM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
ἔξω D--------- ἔξω

Gen 9:23
καὶ C--------- καί
λαβόντες VB--AAPNPM λαμβάνω
Σημ N---NSM--- Σημ
καὶ C--------- καί
Ιαφεθ N---NSM--- Ιαφεθ
τὸ RA--ASN--- ὁ
ἱμάτιον N2N-ASN--- ἱμάτιον
ἐπέθεντο VEI-AMI3P- τίθημι ἐπι
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
δύο M--------- δύο
νῶτα N2N-APN--- νῶτον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐπορεύθησαν VCI-API3P- πορεύομαι
ὀπισθοφανῶς D--------- ὀπισθοφανῶς
καὶ C--------- καί
συνεκάλυψαν VAI-AAI3P- καλύπτω συν
τὴν RA--ASF--- ὁ
γύμνωσιν N3I-ASF--- γύμνωσις
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
ὀπισθοφανές A3--ASN--- ὀπισθοφανής
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γύμνωσιν N3I-ASF--- γύμνωσις
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
οὐκ D--------- οὐ
εἶδον VBI-AAI3P- ὁράω

Gen 9:24
ἐξένηψεν VAI-AAI3S- νήφω ἐκ
δὲ X--------- δέ
Νωε N---NSM--- Νωε
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
οἴνου N2--GSM--- οἶνος
καὶ C--------- καί
ἔγνω VZI-AAI3S- γιγνώσκω
ὅσα A1--APN--- ὅσος
ἐποίησεν VAI-AAI3S- ποιέω
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
υἱὸς N2--NSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ὁ RA--NSM--- ὁ
νεώτερος A1A-NSMC-- νέος

Gen 9:25
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐπικατάρατος A1B-NSM--- ἐπικατάρατος
Χανααν N---NSM--- Χανααν
παῖς N3D-NSM--- παῖς
οἰκέτης N1M-NSM--- οἰκέτης
ἔσται VF--FMI3S- εἰμί
τοῖς RA--DPM--- ὁ
ἀδελφοῖς N2--DPM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός

Gen 9:26
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
εὐλογητὸς A1--NSM--- εὐλογητός
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
Σημ N---GSM--- Σημ
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
Χανααν N---NSM--- Χανααν
παῖς N3D-NSM--- παῖς
αὐτοῦ RD--GSM--- αὐτός

Gen 9:27
πλατύναι V1--PAI3S- πλατύνω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῷ RA--DSM--- ὁ
Ιαφεθ N---DSM--- Ιαφεθ
καὶ C--------- καί
κατοικησάτω VA--AAD3S- οἰκέω κατα
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
οἴκοις N2--DPM--- οἶκος
τοῦ RA--GSM--- ὁ
Σημ N---GSM--- Σημ
καὶ C--------- καί
γενηθήτω VC--APD3S- γίγνομαι
Χανααν N---NSM--- Χανααν
παῖς N3D-NSM--- παῖς
αὐτῶν RD--GPM--- αὐτός

Gen 9:28
ἔζησεν VAI-AAI3S- ζάω
δὲ X--------- δέ
Νωε N---NSM--- Νωε
μετὰ P--------- μετά
τὸν RA--ASM--- ὁ
κατακλυσμὸν N2--ASM--- κατακλυσμός
τριακόσια A1A-APN--- τριακόσιοι
πεντήκοντα M--------- πεντήκοντα
ἔτη N3E-APN--- ἔτος

Gen 9:29
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
Νωε N---GSM--- Νωε
ἐννακόσια A1--NPN--- ἐννακόσιοι
πεντήκοντα M--------- πεντήκοντα
ἔτη N3E-NPN--- ἔτος
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο

Gen 10:1
αὗται RD--NPF--- οὗτος
δὲ X--------- δέ
αἱ RA--NPF--- ὁ
γενέσεις N3I-NPF--- γένεσις
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Νωε N---GSM--- Νωε
Σημ N---GSM--- Σημ
Χαμ N---GSM--- Χαμ
Ιαφεθ N---GSM--- Ιαφεθ
καὶ C--------- καί
ἐγενήθησαν VCI-API3P- γίγνομαι
αὐτοῖς RD--DPM--- αὐτός
υἱοὶ N2--NPM--- υἱός
μετὰ P--------- μετά
τὸν RA--ASM--- ὁ
κατακλυσμόν N2--ASM--- κατακλυσμός

Gen 10:2
υἱοὶ N2--NPM--- υἱός
Ιαφεθ N---GSM--- Ιαφεθ
Γαμερ N---NSM--- Γαμερ
καὶ C--------- καί
Μαγωγ N---NSM--- Μαγωγ
καὶ C--------- καί
Μαδαι N---NSM--- Μαδαι
καὶ C--------- καί
Ιωυαν N---NSM--- Ιωυαν
καὶ C--------- καί
Ελισα N---NSM--- Ελισα
καὶ C--------- καί
Θοβελ N---NSM--- Θοβελ
καὶ C--------- καί
Μοσοχ N---NSM--- Μοσοχ
καὶ C--------- καί
Θιρας N---NSM--- Θιρας

Gen 10:3
καὶ C--------- καί
υἱοὶ N2--NPM--- υἱός
Γαμερ N---GSM--- Γαμερ
Ασχαναζ N---NSM--- Ασχαναζ
καὶ C--------- καί
Ριφαθ N---NSM--- Ριφαθ
καὶ C--------- καί
Θοργαμα N---NSM--- Θοργαμα

Gen 10:4
καὶ C--------- καί
υἱοὶ N2--NPM--- υἱός
Ιωυαν N---GSM--- Ιωυαν
Ελισα N---NSM--- Ελισα
καὶ C--------- καί
Θαρσις N---NSM--- Θαρσις
Κίτιοι N2--NPM--- Κίτιος
Ῥόδιοι N2--NPM--- Ῥόδιος

Gen 10:5
ἐκ P--------- ἐκ
τούτων RD--GPM--- οὗτος
ἀφωρίσθησαν VSI-API3P- ὁρίζω ἀπο
νῆσοι N2--NPF--- νήσος
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
αὐτῶν RD--GPM--- αὐτός
ἕκαστος A1--NSM--- ἕκαστος
κατὰ P--------- κατά
γλῶσσαν N1S-ASF--- γλῶσσα
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
φυλαῖς N1--DPF--- φυλή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
αὐτῶν RD--GPM--- αὐτός

Gen 10:6
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Χαμ N---GSM--- Χαμ
Χους N---NSM--- Χους
καὶ C--------- καί
Μεσραιμ N---N-M--- Μεσραιμ
Φουδ N---NSM--- Φουδ
καὶ C--------- καί
Χανααν N---NSM--- Χανααν

Gen 10:7
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Χους N---GSM--- Χους
Σαβα N---NSM--- Σαβα
καὶ C--------- καί
Ευιλα N---NSM--- Ευιλα
καὶ C--------- καί
Σαβαθα N---NSM--- Σαβαθα
καὶ C--------- καί
Ρεγμα N---NSM--- Ρεγμα
καὶ C--------- καί
Σαβακαθα N---NSM--- Σαβακαθα
υἱοὶ N2--NPM--- υἱός
δὲ X--------- δέ
Ρεγμα N---GSM--- Ρεγμα
Σαβα N---NSM--- Σαβα
καὶ C--------- καί
Δαδαν N---NSM--- Δαδαν

Gen 10:8
Χους N---NSM--- Χους
δὲ X--------- δέ
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Νεβρωδ N---ASM--- Νεβρωδ
οὗτος RD--NSM--- οὗτος
ἤρξατο VAI-AMI3S- ἄρχω
εἶναι V9--PAN--- εἰμί
γίγας N3--NSM--- γίγας
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 10:9
οὗτος RD--NSM--- οὗτος
ἦν V9--IAI3S- εἰμί
γίγας N3--NSM--- γίγας
κυνηγὸς N2--NSM--- κυνηγός
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐροῦσιν VF2-FAI3P- εἶπον
ὡς C--------- ὡς
Νεβρωδ N---NSM--- Νεβρωδ
γίγας N3--NSM--- γίγας
κυνηγὸς N2--NSM--- κυνηγός
ἐναντίον P--------- ἐναντίον
κυρίου N2--GSM--- κύριος

Gen 10:10
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἀρχὴ N1--NSF--- ἀρχή
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
Βαβυλὼν N---NSF--- Βαβυλών
καὶ C--------- καί
Ορεχ N---NS---- Ορεχ
καὶ C--------- καί
Αρχαδ N---NS---- Αρχαδ
καὶ C--------- καί
Χαλαννη N---NS---- Χαλαννη
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
Σεννααρ N----S---- Σεννααρ

Gen 10:11
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐκείνης RD--GSF--- ἐκεῖνος
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
Ασσουρ N---DS---- Ασσουρ
καὶ C--------- καί
ᾠκοδόμησεν VAI-AAI3S- οἰκοδομέω
τὴν RA--ASF--- ὁ
Νινευη N---ASF--- Νινευη
καὶ C--------- καί
τὴν RA--ASF--- ὁ
Ροωβωθ N---ASF--- Ροωβωθ
πόλιν N3I-ASF--- πόλις
καὶ C--------- καί
τὴν RA--ASF--- ὁ
Χαλαχ N---ASF--- Χαλαχ

Gen 10:12
καὶ C--------- καί
τὴν RA--ASF--- ὁ
Δασεμ N---ASF--- Δασεμ
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
Νινευη N---GSF--- Νινευη
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
Χαλαχ N---GSF--- Χαλαχ
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
πόλις N3I-NSF--- πόλις
ἡ RA--NSF--- ὁ
μεγάλη A1--NSF--- μέγας

Gen 10:13
καὶ C--------- καί
Μεσραιμ N---N-M--- Μεσραιμ
ἐγέννησεν VAI-AAI3S- γεννάω
τοὺς RA--APM--- ὁ
Λουδιιμ N---APM--- Λουδιιμ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
Ενεμετιιμ N---APM--- Ενεμετιιμ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
Λαβιιμ N---APM--- Λαβιιμ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
Νεφθαλιιμ N---APM--- Νεφθαλιιμ

Gen 10:14
καὶ C--------- καί
τοὺς RA--APM--- ὁ
Πατροσωνιιμ N---APM--- Πατροσωνιιμ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
Χασλωνιιμ N---APM--- Χασλωνιιμ
ὅθεν D--------- ὅθεν
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ἐκεῖθεν D--------- ἐκεῖθεν
Φυλιστιιμ N---NPM--- Φυλιστιιμ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
Καφθοριιμ N---APM--- Καφθοριιμ

Gen 10:15
Χανααν N---NSM--- Χανααν
δὲ X--------- δέ
ἐγέννησεν VAI-AAI3S- γεννάω
τὸν RA--ASM--- ὁ
Σιδῶνα N---ASM--- Σιδῶν
πρωτότοκον A1B-ASM--- πρωτότοκος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Χετταῖον N2--ASM--- Χετταῖος

Gen 10:16
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ιεβουσαῖον N2--ASM--- Ιεβουσαῖος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Αμορραῖον N2--ASM--- Ἀμορραῖος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Γεργεσαῖον N2--ASM--- Γεργεσαῖος

Gen 10:17
καὶ C--------- καί
τὸν RA--ASM--- ὁ
Ευαῖον N2--ASM--- Ευαῖος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
