Jer 1:1
ἐφύλαξαν VAI-AAI3P- φυλάσσω
καιροὺς N2--APM--- καιρός
εἰσόδων N2--GPF--- εἴσοδος
αὐτῶν RD--GPF--- αὐτός
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
οὐκ D--------- οὐ
ἔγνω VZI-AAI3S- γιγνώσκω
τὰ RA--APN--- ὁ
κρίματα N3M-APN--- κρίμα
κυρίου N2--GSM--- κύριος

Jer 8:8
πῶς D--------- πῶς
ἐρεῖτε VF2-FAI2P- εἶπον
ὅτι C--------- ὅτι
σοφοί A1--NPM--- σοφός
ἐσμεν V9--PAI1P- εἰμί
ἡμεῖς RP--NP---- ἐγώ
καὶ C--------- καί
νόμος N2--NSM--- νόμος
κυρίου N2--GSM--- κύριος
ἐστὶν V9--PAI3S- εἰμί
μεθ' P--------- μετά
ἡμῶν RP--GP---- ἐγώ
εἰς P--------- εἰς
μάτην D--------- μάτην
ἐγενήθη VCI-API3S- γίγνομαι
σχοῖνος N2--NSM--- σχοῖνος
ψευδὴς A3H-NSM--- ψευδής
γραμματεῦσιν N3V-DPM--- γραμματεύς

Jer 8:9
ᾐσχύνθησαν VCI-API3P- αἰσχύνω
σοφοὶ A1--NPM--- σοφός
καὶ C--------- καί
ἐπτοήθησαν VCI-API3P- πτοέω
καὶ C--------- καί
ἑάλωσαν VZI-AAI3P- ἁλίσκω
ὅτι C--------- ὅτι
τὸν RA--ASM--- ὁ
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος
ἀπεδοκίμασαν VAI-AAI3P- δοκιμάζω ἀπο
σοφία N1A-NSF--- σοφία
τίς RI--NSF--- τίς
ἐστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός

Jer 8:10
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
δώσω VF--FAI1S- δίδωμι
τὰς RA--APF--- ὁ
γυναῖκας N3K-APF--- γυνή
αὐτῶν RD--GPM--- αὐτός
ἑτέροις A1A-DPM--- ἕτερος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἀγροὺς N2--APM--- ἀγρός
αὐτῶν RD--GPM--- αὐτός
τοῖς RA--DPM--- ὁ
κληρονόμοις N2--DPM--- κληρονόμος

Jer 8:13
καὶ C--------- καί
συνάξουσιν VF--FAI3P- ἄγω συν
τὰ RA--APN--- ὁ
γενήματα N3M-APN--- γένημα
αὐτῶν RD--GPM--- αὐτός
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
σταφυλὴ N1--NSF--- σταφυλή
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἀμπέλοις N2--DPF--- ἄμπελος
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
σῦκα N2N-NPN--- σῦκον
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
συκαῖς N1--DPF--- συκῆ
καὶ C--------- καί
τὰ RA--NPN--- ὁ
φύλλα N2N-NPN--- φύλλον
κατερρύηκεν VX--XAI3S- ῤέω κατα

Jer 8:14
ἐπὶ P--------- ἐπί
τί RI--ASN--- τίς
ἡμεῖς RP--NP---- ἐγώ
καθήμεθα V5--PMI1P- ἧμαι κατα
συνάχθητε VC--APD2P- ἄγω συν
καὶ C--------- καί
εἰσέλθωμεν VB--AAS1P- ἔρχομαι εἰς
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
τὰς RA--APF--- ὁ
ὀχυρὰς A1A-APF--- ὀχυρός
καὶ C--------- καί
ἀπορριφῶμεν VV--APS1S- ῤίπτω ἀπο
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἀπέρριψεν VAI-AAI3S- ῤίπτω ἀπο
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
ἐπότισεν VAI-AAI3S- ποτίζω
ἡμᾶς RP--AP---- ἐγώ
ὕδωρ N3--ASN--- ὕδωρ
χολῆς N1--GSF--- χολή
ὅτι C--------- ὅτι
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω
ἐναντίον P--------- ἐναντίον
αὐτοῦ RD--GSM--- αὐτός

Jer 8:15
συνήχθημεν VQI-API1P- ἄγω συν
εἰς P--------- εἰς
εἰρήνην N1--ASF--- εἰρήνη
καὶ C--------- καί
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ἀγαθά A1--NPN--- ἀγαθός
εἰς P--------- εἰς
καιρὸν N2--ASM--- καιρός
ἰάσεως N3I-GSF--- ἴασις
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
σπουδή N1--NSF--- σπουδή

Jer 8:16
ἐκ P--------- ἐκ
Δαν N---GSM--- Δαν
ἀκουσόμεθα VF--FMI1P- ἀκούω
φωνὴν N1--ASF--- φωνή
ὀξύτητος N3T-GSF--- ὀξύτης
ἵππων N2--GPM--- ἵππος
αὐτοῦ RD--GSM--- αὐτός
ἀπὸ P--------- ἀπό
φωνῆς N1--GSF--- φωνή
χρεμετισμοῦ N2--GSM--- χρεμετισμός
ἱππασίας N1A-GSF--- ἱππασία
ἵππων N2--GPM--- ἵππος
αὐτοῦ RD--GSM--- αὐτός
ἐσείσθη VCI-API3S- σείω
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
καὶ C--------- καί
ἥξει VF--FAI3S- ἥκω
καὶ C--------- καί
καταφάγεται VF--FMI3S- ἐσθίω κατα
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πλήρωμα N3M-ASN--- πλήρωμα
αὐτῆς RD--GSF--- αὐτός
πόλιν N3I-ASF--- πόλις
καὶ C--------- καί
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός

Jer 8:17
διότι C--------- διότι
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἐξαποστέλλω V1--PAI1S- στέλλω ἐκ ἀπο
εἰς P--------- εἰς
ὑμᾶς RP--AP---- σύ
ὄφεις N3I-APM--- ὄφις
θανατοῦντας V4--PAPAPM θανατόω
οἷς RR--DPM--- ὅς
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἐπᾷσαι VA--AAN--- ἐπαΐω
καὶ C--------- καί
δήξονται VF--FMI3P- δάκνω
ὑμᾶς RP--AP---- σύ

Jer 8:18
ἀνίατα A1B-NPN--- ἀνίατος
μετ' P--------- μετά
ὀδύνης N1--GSF--- ὀδύνη
καρδίας N1A-GSF--- καρδία
ὑμῶν RP--GP---- σύ
ἀπορουμένης V2--PPPGSF ἀπορέω

Jer 8:19
ἰδοὺ I--------- ἰδού
φωνὴ N1--NSF--- φωνή
κραυγῆς N1--GSF--- κραυγή
θυγατρὸς N3--GSF--- θυγάτηρ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
ἀπὸ P--------- ἀπό
γῆς N1--GSF--- γῆ
μακρόθεν D--------- μακρόθεν
μὴ D--------- μή
κύριος N2--NSM--- κύριος
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
Σιων N---DSF--- Σιων
ἢ C--------- ἤ
βασιλεὺς N3V-NSM--- βασιλεύς
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἐκεῖ D--------- ἐκεῖ
διὰ P--------- διά
τί RI--ASN--- τίς
παρώργισάν VAI-AAI3P- ὀργίζω παρα
με RP--AS---- ἐγώ
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
γλυπτοῖς A1--DPM--- γλυπτός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
ματαίοις A1A-DPM--- μάταιος
ἀλλοτρίοις A1A-DPM--- ἀλλότριος

Jer 8:20
διῆλθεν VBI-AAI3S- ἔρχομαι δια
θέρος N3E-NSN--- θέρος
παρῆλθεν VBI-AAI3S- ἔρχομαι παρα
ἄμητος N2--NSM--- ἀμητός
καὶ C--------- καί
ἡμεῖς RP--NP---- ἐγώ
οὐ D--------- οὐ
διεσώθημεν VCI-API1P- σώζω δια

Jer 8:21
ἐπὶ P--------- ἐπί
συντρίμματι N3M-DSN--- σύντριμμα
θυγατρὸς N3--GSF--- θυγάτηρ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
ἐσκοτώθην VCI-API1S- σκοτόω
ἀπορίᾳ N1A-DSF--- ἀπορία
κατίσχυσάν VA--AAI3P- ἰσχύω κατα
με RP--AS---- ἐγώ
ὠδῖνες N3--NPF--- ὠδίν
ὡς C--------- ὡς
τικτούσης V1--PAPGSF τίκτω

Jer 8:22
μὴ D--------- μή
ῤητίνη N1--NSF--- ῤητίνη
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
Γαλααδ N---DSM--- Γαλαάδ
ἢ C--------- ἤ
ἰατρὸς N2--NSM--- ἰατρός
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἐκεῖ D--------- ἐκεῖ
διὰ P--------- διά
τί RI--ASN--- τίς
οὐκ D--------- οὐ
ἀνέβη VZI-AAI3S- βαίνω ἀνα
ἴασις N3I-NSF--- ἴασις
θυγατρὸς N3--GSF--- θυγάτηρ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ

Jer 8:23
τίς RI--NSM--- τίς
δώσει VF--FAI3S- δίδωμι
κεφαλῇ N1--DSF--- κεφαλή
μου RP--GS---- ἐγώ
ὕδωρ N3--ASN--- ὕδωρ
καὶ C--------- καί
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
μου RP--GS---- ἐγώ
πηγὴν N1--ASF--- πηγή
δακρύων N2N-GPN--- δάκρυ
καὶ C--------- καί
κλαύσομαι VF--FMI1S- κλαίω
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
μου RP--GS---- ἐγώ
τοῦτον RD--ASM--- οὗτος
ἡμέρας N1A-GSF--- ἡμέρα
καὶ C--------- καί
νυκτός N3--GSF--- νύξ
τοὺς RA--APM--- ὁ
τετραυματισμένους VT--XMPAPM τραυματίζω
θυγατρὸς N3--GSF--- θυγάτηρ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ

Jer 9:1
τίς RI--NSM--- τίς
δῴη VO--AAO3S- δίδωμι
μοι RP--DS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἐρήμῳ N2--DSF--- ἔρημος
σταθμὸν N2--ASM--- σταθμός
ἔσχατον A1--ASM--- ἔσχατος
καὶ C--------- καί
καταλείψω VF--FAI1S- λείπω κατα
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἀπελεύσομαι VF--FMI1S- ἔρχομαι ἀπο
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
πάντες A3--NPM--- πᾶς
μοιχῶνται VC--PMI3P- μοιχάομαι
σύνοδος N2--NSF--- σύνοδος
ἀθετούντων V2--PAPGPM ἀθετέω

Jer 9:2
καὶ C--------- καί
ἐνέτειναν VAI-AAI3P- τείνω ἐν
τὴν RA--ASF--- ὁ
γλῶσσαν N1S-ASF--- γλῶσσα
αὐτῶν RD--GPM--- αὐτός
ὡς C--------- ὡς
τόξον N2N-ASN--- τόξον
ψεῦδος N3E-NSN--- ψεῦδος
καὶ C--------- καί
οὐ D--------- οὐ
πίστις N3I-NSF--- πίστις
ἐνίσχυσεν VAI-AAI3S- ἰσχύω ἐν
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὅτι C--------- ὅτι
ἐκ P--------- ἐκ
κακῶν A1--GPM--- κακός
εἰς P--------- εἰς
κακὰ A1--APN--- κακός
ἐξήλθοσαν VBI-AAI3P- ἔρχομαι ἐκ
καὶ C--------- καί
ἐμὲ RP--AS---- ἐγώ
οὐκ D--------- οὐ
ἔγνωσαν VZI-AAI3P- γιγνώσκω

Jer 9:3
ἕκαστος A1--NSM--- ἕκαστος
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
φυλάξασθε VA--AMD2P- φυλάσσω
καὶ C--------- καί
ἐπ' P--------- ἐπί
ἀδελφοῖς N2--DPM--- ἀδελφός
αὐτῶν RD--GPM--- αὐτός
μὴ D--------- μή
πεποίθατε VX--XAD2P- πείθω
ὅτι C--------- ὅτι
πᾶς A3--NSM--- πᾶς
ἀδελφὸς N2--NSM--- ἀδελφός
πτέρνῃ N1--DSF--- πτέρνη
πτερνιεῖ VF2-FAI3S- πτερνίζω
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
φίλος A1--NSM--- φίλος
δολίως D--------- δολίως
πορεύσεται VF--FMI3S- πορεύομαι

Jer 9:4
ἕκαστος A1--NSM--- ἕκαστος
κατὰ P--------- κατά
τοῦ RA--GSM--- ὁ
φίλου A1--GSM--- φίλος
αὐτοῦ RD--GSM--- αὐτός
καταπαίξεται VF--FAI3S- παίζω κατα
ἀλήθειαν N1A-ASF--- ἀλήθεια
οὐ D--------- οὐ
μὴ D--------- μή
λαλήσωσιν VA--AAS3P- λαλέω
μεμάθηκεν VX--XAI3S- μανθάνω
ἡ RA--NSF--- ὁ
γλῶσσα N1S-NSF--- γλῶσσα
αὐτῶν RD--GPM--- αὐτός
λαλεῖν V2--PAN--- λαλέω
ψευδῆ A3H-APN--- ψευδής
ἠδίκησαν VAI-AAI3P- ἀδικέω
καὶ C--------- καί
οὐ D--------- οὐ
διέλιπον VBI-AAI3P- λείπω δια
τοῦ RA--GSN--- ὁ
ἐπιστρέψαι VA--AAN--- στρέφω ἐπι

Jer 9:5
τόκος N2--NSM--- τόκος
ἐπὶ P--------- ἐπί
τόκῳ N2--DSM--- τόκος
δόλος N2--NSM--- δόλος
ἐπὶ P--------- ἐπί
δόλῳ N2--DSM--- δόλος
οὐκ D--------- οὐ
ἤθελον V1I-IAI3P- θέλω
εἰδέναι VX--XAN--- οἶδα
με RP--AS---- ἐγώ

Jer 9:6
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
πυρώσω VF--FAI1S- πυρόω
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
δοκιμῶ VF2-FAI1S- δοκιμάζω
αὐτούς RD--APM--- αὐτός
ὅτι C--------- ὅτι
ποιήσω VF--FAI1S- ποιέω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
πονηρίας N1A-GSF--- πονηρία
θυγατρὸς N3--GSF--- θυγάτηρ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ

Jer 9:7
βολὶς N3D-NSF--- βολίς
τιτρώσκουσα V1--PAPNSF τιτρώσκω
ἡ RA--NSF--- ὁ
γλῶσσα N1S-NSF--- γλῶσσα
αὐτῶν RD--GPM--- αὐτός
δόλια A1A-NPN--- δόλιος
τὰ RA--NPN--- ὁ
ῤήματα N3M-NPN--- ῤῆμα
τοῦ RA--GSN--- ὁ
στόματος N3M-GSN--- στόμα
αὐτῶν RD--GPM--- αὐτός
τῷ RA--DSM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
λαλεῖ V2--PAI3S- λαλέω
εἰρηνικὰ A1--APN--- εἰρηνικός
καὶ C--------- καί
ἐν P--------- ἐν
ἑαυτῷ RD--DSM--- ἑαυτοῦ
ἔχει V1--PAI3S- ἔχω
τὴν RA--ASF--- ὁ
ἔχθραν N1A-ASF--- ἔχθρα

Jer 9:8
μὴ D--------- μή
ἐπὶ P--------- ἐπί
τούτοις RD--DPM--- οὗτος
οὐκ D--------- οὐ
ἐπισκέψομαι VF--FMI1S- σκέπτω ἐπι
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἢ C--------- ἤ
ἐν P--------- ἐν
λαῷ N2--DSM--- λαός
τῷ RA--DSM--- ὁ
τοιούτῳ A1--DSM--- τοιοῦτος
οὐκ D--------- οὐ
ἐκδικήσει VF2-FAI3S- δικέω ἐκ
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ

Jer 9:9
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ὄρη N3E-APN--- ὄρος
λάβετε VB--AAD2P- λαμβάνω
κοπετὸν N2--ASM--- κοπετός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
τρίβους N2--APF--- τρίβος
τῆς RA--GSF--- ὁ
ἐρήμου N2--GSF--- ἔρημος
θρῆνον N2--ASM--- θρῆνος
ὅτι C--------- ὅτι
ἐξέλιπον VBI-AAI3P- λείπω ἐκ
παρὰ P--------- παρά
τὸ RA--ASN--- ὁ
μὴ D--------- μή
εἶναι V9--PAN--- εἰμί
ἀνθρώπους N2--APM--- ἄνθρωπος
οὐκ D--------- οὐ
ἤκουσαν VAI-AAI3P- ἀκούω
φωνὴν N1--ASF--- φωνή
ὑπάρξεως N3I-GSF--- ὕπαρξις
ἀπὸ P--------- ἀπό
πετεινῶν N2N-GPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἕως P--------- ἕως
κτηνῶν N3E-GPN--- κτῆνος
ἐξέστησαν VHI-AAI3P- ἵστημι ἐκ
ᾤχοντο V1I-IMI3P- οἴχομαι

Jer 9:10
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
τὴν RA--ASF--- ὁ
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
εἰς P--------- εἰς
μετοικίαν N1A-ASF--- μετοικία
καὶ C--------- καί
εἰς P--------- εἰς
κατοικητήριον N2--ASN--- κατοικητήριον
δρακόντων N3--GPM--- δράκων
καὶ C--------- καί
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
Ιουδα N---GSM--- Ιουδα
εἰς P--------- εἰς
ἀφανισμὸν N2--ASM--- ἀφανισμός
θήσομαι VF--FMI1S- τίθημι
παρὰ P--------- παρά
τὸ RA--ASN--- ὁ
μὴ D--------- μή
κατοικεῖσθαι V2--PMN--- οἰκέω κατα

Jer 9:11
τίς RI--NSM--- τίς
ὁ RA--NSM--- ὁ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ὁ RA--NSM--- ὁ
συνετός A1--NSM--- συνετός
καὶ C--------- καί
συνέτω V6--PAD3S- ἵημι συν
τοῦτο RD--ASN--- οὗτος
καὶ C--------- καί
ᾧ RR--DSM--- ὅς
λόγος N2--NSM--- λόγος
στόματος N3M-GSN--- στόμα
κυρίου N2--GSM--- κύριος
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
ἀναγγειλάτω VA--AAD3S- ἀγγέλλω ἀνα
ὑμῖν RP--DP---- σύ
ἕνεκεν P--------- ἕνεκεν
τίνος RI--GSN--- τίς
ἀπώλετο VBI-AMI3S- ὀλλύω ἀπο
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
ἀνήφθη VVI-API3S- ἅπτω ἀνα
ὡς C--------- ὡς
ἔρημος N2--NSF--- ἔρημος
παρὰ P--------- παρά
τὸ RA--ASN--- ὁ
μὴ D--------- μή
διοδεύεσθαι V1--PMN--- ὁδεύω δια
αὐτήν RD--ASF--- αὐτός

Jer 9:12
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
διὰ P--------- διά
τὸ RA--ASN--- ὁ
ἐγκαταλιπεῖν VB--AAN--- λείπω ἐν κατα
αὐτοὺς RD--APM--- αὐτός
τὸν RA--ASM--- ὁ
νόμον N2--ASM--- νόμος
μου RP--GS---- ἐγώ
ὃν RR--ASM--- ὅς
ἔδωκα VAI-AAI1S- δίδωμι
πρὸ P--------- πρό
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἤκουσαν VAI-AAI3P- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
μου RP--GS---- ἐγώ

Jer 9:13
ἀλλ' C--------- ἀλλά
ἐπορεύθησαν VCI-API3P- πορεύομαι
ὀπίσω P--------- ὀπίσω
τῶν RA--GPM--- ὁ
ἀρεστῶν A1--GPM--- ἀρεστός
τῆς RA--GSF--- ὁ
καρδίας N1A-GSF--- καρδία
αὐτῶν RD--GPM--- αὐτός
τῆς RA--GSF--- ὁ
κακῆς A1--GSF--- κακός
καὶ C--------- καί
ὀπίσω P--------- ὀπίσω
τῶν RA--GPN--- ὁ
εἰδώλων N2N-GPN--- εἴδωλον
ἃ RR--APN--- ὅς
ἐδίδαξαν VAI-AAI3P- διδάσκω
αὐτοὺς RD--APM--- αὐτός
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός

Jer 9:14
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ψωμιῶ VF2-FAI1S- ψωμίζω
αὐτοὺς RD--APM--- αὐτός
ἀνάγκας N1--APF--- ἀνάγκη
καὶ C--------- καί
ποτιῶ VF2-FAI1S- ποτίζω
αὐτοὺς RD--APM--- αὐτός
ὕδωρ N3--ASN--- ὕδωρ
χολῆς N1--GSF--- χολή

Jer 9:15
καὶ C--------- καί
διασκορπιῶ VF2-FAI1S- σκορπίζω δια
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
εἰς P--------- εἰς
οὓς RR--APM--- ὅς
οὐκ D--------- οὐ
ἐγίνωσκον V1I-IAI3P- γιγνώσκω
αὐτοὶ RD--NPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐπαποστελῶ VF2-FAI1S- στέλλω ἐπι ἀπο
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
τὴν RA--ASF--- ὁ
μάχαιραν N1A-ASF--- μάχαιρα
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ἐξαναλῶσαι VA--AAN--- ἁλίσκω ἐκ ἀνα
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός

Jer 9:16
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καλέσατε VA--AAD2P- καλέω
τὰς RA--APF--- ὁ
θρηνούσας V2--PAPAPF θρηνέω
καὶ C--------- καί
ἐλθέτωσαν VB--AAD3P- ἔρχομαι
καὶ C--------- καί
πρὸς P--------- πρός
τὰς RA--APF--- ὁ
σοφὰς A1--APF--- σοφός
ἀποστείλατε VA--AAD2P- στέλλω ἀπο
καὶ C--------- καί
φθεγξάσθωσαν VA--AMD3P- φθέγγομαι

Jer 9:17
καὶ C--------- καί
