Ezek 25:1
αἰχμαλωσίαν N1A-ASF--- αἰχμαλωσία
σου RP--GS---- σύ
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ἔθνη N3E-APN--- ἔθνος
εἰς P--------- εἰς
γῆν N1--ASF--- γῆ
ἣν RR--ASF--- ὅς
οὐκ D--------- οὐ
ἔγνως VZI-AAI2S- γιγνώσκω

Ezek 32:10
καὶ C--------- καί
στυγνάσουσιν VF--FAI3P- στυγνάζω
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
ἔθνη N3E-NPN--- ἔθνος
πολλά A1--NPN--- πολύς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
βασιλεῖς N3V-NPM--- βασιλεύς
αὐτῶν RD--GPM--- αὐτός
ἐκστάσει N3I-DSF--- ἔκστασις
ἐκστήσονται VF--FMI3P- ἵστημι ἐκ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πέτασθαι V5--PMN--- πέτομαι
τὴν RA--ASF--- ὁ
ῤομφαίαν N1A-ASF--- ῤομφαία
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
πρόσωπα N2N-APN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
προσδεχόμενοι V1--PMPNPM δέχομαι προς
τὴν RA--ASF--- ὁ
πτῶσιν N3I-ASF--- πτῶσις
αὐτῶν RD--GPM--- αὐτός
ἀφ' P--------- ἀπό
ἡμέρας N1A-GSF--- ἡμέρα
πτώσεώς N3I-GSF--- πτῶσις
σου RP--GS---- σύ

Ezek 32:11
ὅτι C--------- ὅτι
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ῤομφαία N1A-NSF--- ῤομφαία
βασιλέως N3V-GSM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
ἥξει VF--FAI3S- ἥκω
σοι RP--DS---- σύ

Ezek 32:12
ἐν P--------- ἐν
μαχαίραις N1--DPF--- μάχαιρα
γιγάντων N3--GPM--- γίγας
καὶ C--------- καί
καταβαλῶ VF2-FAI1S- βάλλω κατα
τὴν RA--ASF--- ὁ
ἰσχύν N3--ASF--- ἰσχύς
σου RP--GS---- σύ
λοιμοὶ N2--NPM--- λοιμός
ἀπὸ P--------- ἀπό
ἐθνῶν N3E-GPN--- ἔθνος
πάντες A3--NPM--- πᾶς
καὶ C--------- καί
ἀπολοῦσι VF2-FAI3P- ὀλλύω ἀπο
τὴν RA--ASF--- ὁ
ὕβριν N3I-ASF--- ὕβρις
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
συντριβήσεται VD--FPI3S- τρίβω συν
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
ἰσχὺς N3--NSF--- ἰσχύς
αὐτῆς RD--GSF--- αὐτός

Ezek 32:13
καὶ C--------- καί
ἀπολῶ VF2-FAI1S- ὀλλύω ἀπο
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
κτήνη N3E-APN--- κτῆνος
αὐτῆς RD--GSF--- αὐτός
ἀφ' P--------- ἀπό
ὕδατος N3T-GSN--- ὕδωρ
πολλοῦ A1--GSN--- πολύς
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ταράξῃ VA--AAS3S- ταράσσω
αὐτὸ RD--ASN--- αὐτός
ἔτι D--------- ἔτι
ποὺς N3D-NSM--- πούς
ἀνθρώπου N2--GSM--- ἄνθρωπος
καὶ C--------- καί
ἴχνος N3E-NSN--- ἴχνος
κτηνῶν N3E-GPN--- κτῆνος
οὐ D--------- οὐ
μὴ D--------- μή
καταπατήσῃ VA--AAS3S- πατέω κατα
αὐτό RD--ASN--- αὐτός

Ezek 32:14
οὕτως D--------- οὕτως
τότε D--------- τότε
ἡσυχάσει VF--FAI3S- ἡσυχάζω
τὰ RA--NPN--- ὁ
ὕδατα N3T-NPN--- ὕδωρ
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ποταμοὶ N2--NPM--- ποταμός
αὐτῶν RD--GPM--- αὐτός
ὡς C--------- ὡς
ἔλαιον N2N-NSN--- ἔλαιον
πορεύσονται VF--FMI3P- πορεύομαι
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Ezek 32:15
ὅταν D--------- ὅταν
δῶ VO--AAS1S- δίδωμι
Αἴγυπτον N2--ASF--- Αἴγυπτος
εἰς P--------- εἰς
ἀπώλειαν N1A-ASF--- ἀπώλεια
καὶ C--------- καί
ἐρημωθῇ VC--APS3S- ἐρημόω
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
σὺν P--------- σύν
τῇ RA--DSF--- ὁ
πληρώσει N3I-DSF--- πλήρωσις
αὐτῆς RD--GSF--- αὐτός
ὅταν D--------- ὅταν
διασπείρω VA--AAS1S- σπείρω δια
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
καὶ C--------- καί
γνώσονται VF--FMI3P- γιγνώσκω
ὅτι C--------- ὅτι
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
κύριος N2--NSM--- κύριος

Ezek 32:16
θρῆνός N2--NSM--- θρῆνος
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
θρηνήσεις VF--FAI2S- θρηνέω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θυγατέρες N3--NPF--- θυγάτηρ
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
θρηνήσουσιν VF--FAI3P- θρηνέω
αὐτόν RD--ASM--- αὐτός
ἐπ' P--------- ἐπί
Αἴγυπτον N2--ASF--- Αἴγυπτος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
ἰσχὺν N3--ASF--- ἰσχύς
αὐτῆς RD--GSF--- αὐτός
θρηνήσουσιν VF--FAI3P- θρηνέω
αὐτήν RD--ASF--- αὐτός
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
κύριος N2--NSM--- κύριος

Ezek 32:17
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
δωδεκάτῳ A1--DSN--- δωδέκατος
ἔτει N3E-DSN--- ἔτος
τοῦ RA--GSM--- ὁ
πρώτου A1--GSMS-- πρῶτος
μηνὸς N3--GSM--- μήν
πεντεκαιδεκάτῃ A1--DSF--- πεντεκαιδέκατος
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Ezek 32:18
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
θρήνησον VA--AAD2S- θρηνέω
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
ἰσχὺν N3--ASF--- ἰσχύς
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
καταβιβάσουσιν VF--FAI3P- βιβάζω κατα
αὐτῆς RD--GSF--- αὐτός
τὰς RA--APF--- ὁ
θυγατέρας N3--APF--- θυγάτηρ
τὰ RA--APN--- ὁ
ἔθνη N3E-APN--- ἔθνος
νεκρὰς A1A-APF--- νεκρός
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
βάθος N3E-ASN--- βάθος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
καταβαίνοντας V1--PAPAPM βαίνω κατα
εἰς P--------- εἰς
βόθρον N2--ASM--- βόθρος

Ezek 32:20
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
τραυματιῶν N1T-GPM--- τραυματίας
μαχαίρας N1--APF--- μάχαιρα
πεσοῦνται VF2-FMI3P- πίπτω
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
κοιμηθήσεται VC--FPI3S- κοιμάω
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
ἰσχὺς N3--NSF--- ἰσχύς
αὐτοῦ RD--GSM--- αὐτός

Ezek 32:21
καὶ C--------- καί
ἐροῦσίν VF2-FAI3P- εἶπον
σοι RP--DS---- σύ
οἱ RA--NPM--- ὁ
γίγαντες N3--NPM--- γίγας
ἐν P--------- ἐν
βάθει A3U-DSM--- βαθύς
βόθρου N2--GSM--- βόθρος
γίνου V1--PMD2S- γίγνομαι
τίνος RI--GSN--- τίς
κρείττων A3C-NSM--- κρείσσων
εἶ V9--PAI2S- εἰμί
κατάβηθι VC--APD2S- βαίνω κατα
καὶ C--------- καί
κοιμήθητι VC--APD2S- κοιμάω
μετὰ P--------- μετά
ἀπεριτμήτων A1B-GPM--- ἀπερίτμητος
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
τραυματιῶν N1T-GPM--- τραυματίας
μαχαίρας N1--APF--- μάχαιρα

Ezek 32:22
ἐκεῖ D--------- ἐκεῖ
Ασσουρ N---NS---- Ασσουρ
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
συναγωγὴ N1--NSF--- συναγωγή
αὐτοῦ RD--GSM--- αὐτός
πάντες A3--NPM--- πᾶς
τραυματίαι N1T-NPM--- τραυματίας
ἐκεῖ D--------- ἐκεῖ
ἐδόθησαν VCI-API3P- δίδωμι
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ταφὴ N1--NSF--- ταφή
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
βάθει A3U-DSM--- βαθύς
βόθρου N2--GSM--- βόθρος
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
ἡ RA--NSF--- ὁ
συναγωγὴ N1--NSF--- συναγωγή
αὐτοῦ RD--GSM--- αὐτός
περικύκλῳ D--------- περικύκλῳ
τοῦ RA--GSN--- ὁ
μνήματος N3M-GSN--- μνῆμα
αὐτοῦ RD--GSM--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
τραυματίαι N1T-NPM--- τραυματίας
οἱ RA--NPM--- ὁ
πεπτωκότες VX--XAPNPM πίπτω
μαχαίρᾳ N1A-DSF--- μάχαιρα

Ezek 32:23
οἱ RA--NPM--- ὁ
δόντες VO--AAPNPM δίδωμι
τὸν RA--ASM--- ὁ
φόβον N2--ASM--- φόβος
αὐτῶν RD--GPM--- αὐτός
ἐπὶ P--------- ἐπί
γῆς N1--GSF--- γῆ
ζωῆς N1--GSF--- ζωή

Ezek 32:24
ἐκεῖ D--------- ἐκεῖ
αιλαμ N---NSN--- αιλαμ
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
δύναμις N3I-NSF--- δύναμις
αὐτοῦ RD--GSM--- αὐτός
περικύκλῳ D--------- περικύκλῳ
τοῦ RA--GSN--- ὁ
μνήματος N3M-GSN--- μνῆμα
αὐτοῦ RD--GSM--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
τραυματίαι N1T-NPM--- τραυματίας
οἱ RA--NPM--- ὁ
πεπτωκότες VX--XAPNPM πίπτω
μαχαίρᾳ N1A-DSF--- μάχαιρα
καὶ C--------- καί
οἱ RA--NPM--- ὁ
καταβαίνοντες V1--PAPNPM βαίνω κατα
ἀπερίτμητοι A1B-NPM--- ἀπερίτμητος
εἰς P--------- εἰς
γῆς N1--GSF--- γῆ
βάθος N3E-ASN--- βάθος
οἱ RA--NPM--- ὁ
δεδωκότες VX--XAPNPM δίδωμι
αὐτῶν RD--GPM--- αὐτός
φόβον N2--ASM--- φόβος
ἐπὶ P--------- ἐπί
γῆς N1--GSF--- γῆ
ζωῆς N1--GSF--- ζωή
καὶ C--------- καί
ἐλάβοσαν VBI-AAI3P- λαμβάνω
τὴν RA--ASF--- ὁ
βάσανον N2--ASF--- βάσανος
αὐτῶν RD--GPM--- αὐτός
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
καταβαινόντων V1--PAPGPM βαίνω κατα
εἰς P--------- εἰς
βόθρον N2--ASM--- βόθρος

Ezek 32:25
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
τραυματιῶν N1T-GPM--- τραυματίας

Ezek 32:26
ἐκεῖ D--------- ἐκεῖ
ἐδόθησαν VCI-API3P- δίδωμι
Μοσοχ N---NS---- Μοσοχ
καὶ C--------- καί
Θοβελ N---NS---- Θοβελ
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
ἰσχὺς N3--NSF--- ἰσχύς
αὐτῶν RD--GPM--- αὐτός
περικύκλῳ D--------- περικύκλῳ
τοῦ RA--GSN--- ὁ
μνήματος N3M-GSN--- μνῆμα
αὐτοῦ RD--GSM--- αὐτός
πάντες A3--NPM--- πᾶς
τραυματίαι N1T-NPM--- τραυματίας
αὐτοῦ RD--GSM--- αὐτός
πάντες A3--NPM--- πᾶς
ἀπερίτμητοι A1B-NPM--- ἀπερίτμητος
τραυματίαι N1T-NPM--- τραυματίας
ἀπὸ P--------- ἀπό
μαχαίρας N1--APF--- μάχαιρα
οἱ RA--NPM--- ὁ
δεδωκότες VX--XAPNPM δίδωμι
τὸν RA--ASM--- ὁ
φόβον N2--ASM--- φόβος
αὐτῶν RD--GPM--- αὐτός
ἐπὶ P--------- ἐπί
γῆς N1--GSF--- γῆ
ζωῆς N1--GSF--- ζωή

Ezek 32:27
καὶ C--------- καί
ἐκοιμήθησαν VCI-API3P- κοιμάω
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
γιγάντων N3--GPM--- γίγας
τῶν RA--GPM--- ὁ
πεπτωκότων VX--XAPGPM πίπτω
ἀπὸ P--------- ἀπό
αἰῶνος N3W-GSM--- αἰών
οἳ RR--NPM--- ὅς
κατέβησαν VZI-AAI3P- βαίνω κατα
εἰς P--------- εἰς
ᾅδου N1M-GSM--- ᾅδης
ἐν P--------- ἐν
ὅπλοις N2N-DPN--- ὅπλον
πολεμικοῖς A1--DPN--- πολεμικός
καὶ C--------- καί
ἔθηκαν VAI-AAI3P- τίθημι
τὰς RA--APF--- ὁ
μαχαίρας N1--APF--- μάχαιρα
αὐτῶν RD--GPM--- αὐτός
ὑπὸ P--------- ὑπό
τὰς RA--APF--- ὁ
κεφαλὰς N1--APF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐγενήθησαν VCI-API3P- γίγνομαι
αἱ RA--NPF--- ὁ
ἀνομίαι N1A-NPF--- ἀνομία
αὐτῶν RD--GPM--- αὐτός
ἐπὶ P--------- ἐπί
τῶν RA--GPN--- ὁ
ὀστῶν N2N-GPN--- ὀστέον
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
ἐξεφόβησαν VAI-AAI3P- φοβέω ἐκ
γίγαντας N3--APM--- γίγας
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
ζωῆς N1--GSF--- ζωή

Ezek 32:28
καὶ C--------- καί
σὺ RP--NS---- σύ
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
ἀπεριτμήτων A1B-GPM--- ἀπερίτμητος
κοιμηθήσῃ VC--FPI2S- κοιμάω
μετὰ P--------- μετά
τετραυματισμένων VT--XPPGPM τραυματίζω
μαχαίρᾳ N1A-DSF--- μάχαιρα

Ezek 32:29
ἐκεῖ D--------- ἐκεῖ
ἐδόθησαν VCI-API3P- δίδωμι
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
Ασσουρ N---GS---- Ασσουρ
οἱ RA--NPM--- ὁ
δόντες VO--AAPNPM δίδωμι
τὴν RA--ASF--- ὁ
ἰσχὺν N3--ASF--- ἰσχύς
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
τραῦμα N3M-ASN--- τραῦμα
μαχαίρας N1--APF--- μάχαιρα
οὗτοι RD--NPM--- οὗτος
μετὰ P--------- μετά
τραυματιῶν N1T-GPM--- τραυματίας
ἐκοιμήθησαν VCI-API3P- κοιμάω
μετὰ P--------- μετά
καταβαινόντων V1--PAPGPM βαίνω κατα
εἰς P--------- εἰς
βόθρον N2--ASM--- βόθρος

Ezek 32:30
ἐκεῖ D--------- ἐκεῖ
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
τοῦ RA--GSM--- ὁ
βορρᾶ N1T-GSM--- βορέας
πάντες A3--NPM--- πᾶς
στρατηγοὶ N2--NPM--- στρατηγός
Ασσουρ N---GS---- Ασσουρ
οἱ RA--NPM--- ὁ
καταβαίνοντες V1--PAPNPM βαίνω κατα
τραυματίαι N1T-NPM--- τραυματίας
σὺν P--------- σύν
τῷ RA--DSM--- ὁ
φόβῳ N2--DSM--- φόβος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τῇ RA--DSF--- ὁ
ἰσχύι N3U-DSF--- ἰσχύς
αὐτῶν RD--GPM--- αὐτός
ἐκοιμήθησαν VCI-API3P- κοιμάω
ἀπερίτμητοι A1B-NPM--- ἀπερίτμητος
μετὰ P--------- μετά
τραυματιῶν N1T-GPM--- τραυματίας
μαχαίρας N1--APF--- μάχαιρα
καὶ C--------- καί
ἀπήνεγκαν VAI-AAI3P- φέρω ἀπο
τὴν RA--ASF--- ὁ
βάσανον N2--ASF--- βάσανος
αὐτῶν RD--GPM--- αὐτός
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
καταβαινόντων V1--PAPGPM βαίνω κατα
εἰς P--------- εἰς
βόθρον N2--ASM--- βόθρος

Ezek 32:31
ἐκείνους RD--APM--- ἐκεῖνος
ὄψεται VF--FMI3S- ὁράω
βασιλεὺς N3V-NSM--- βασιλεύς
Φαραω N---NSM--- Φαραώ
καὶ C--------- καί
παρακληθήσεται VC--FPI3S- καλέω παρα
ἐπὶ P--------- ἐπί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
ἰσχὺν N3--ASF--- ἰσχύς
αὐτῶν RD--GPM--- αὐτός
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
κύριος N2--NSM--- κύριος

Ezek 32:32
ὅτι C--------- ὅτι
δέδωκα VX--XAI1S- δίδωμι
τὸν RA--ASM--- ὁ
φόβον N2--ASM--- φόβος
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
γῆς N1--GSF--- γῆ
ζωῆς N1--GSF--- ζωή
καὶ C--------- καί
κοιμηθήσεται VC--FPI3S- κοιμάω
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
ἀπεριτμήτων A1B-GPM--- ἀπερίτμητος
μετὰ P--------- μετά
τραυματιῶν N1T-GPM--- τραυματίας
μαχαίρας N1--APF--- μάχαιρα
Φαραω N---NSM--- Φαραώ
καὶ C--------- καί
πᾶν A3--NSN--- πᾶς
τὸ RA--NSN--- ὁ
πλῆθος N3E-NSN--- πλῆθος
αὐτοῦ RD--GSM--- αὐτός
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
κύριος N2--NSM--- κύριος

Ezek 33:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Ezek 33:2
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
λάλησον VA--AAD2S- λαλέω
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
γῆ N1--NSF--- γῆ
ἐφ' P--------- ἐπί
ἣν RR--ASF--- ὅς
ἂν X--------- ἄν
ἐπάγω V1--PAI1S- ἄγω ἐπι
ῤομφαίαν N1A-ASF--- ῤομφαία
καὶ C--------- καί
λάβῃ VB--AAS3S- λαμβάνω
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἄνθρωπον N2--ASM--- ἄνθρωπος
ἕνα A3--ASM--- εἷς
ἐξ P--------- ἐκ
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
δῶσιν VO--AAS3P- δίδωμι
αὐτὸν RD--ASM--- αὐτός
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
εἰς P--------- εἰς
σκοπόν N2--ASM--- σκοπός

Ezek 33:3
καὶ C--------- καί
ἴδῃ VB--AAS3S- ὁράω
τὴν RA--ASF--- ὁ
ῤομφαίαν N1A-ASF--- ῤομφαία
ἐρχομένην V1--PMPASF ἔρχομαι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
σαλπίσῃ VA--AAS3S- σαλπίζω
τῇ RA--DSF--- ὁ
σάλπιγγι N3G-DSF--- σάλπιγξ
καὶ C--------- καί
σημάνῃ VA--AAS3S- σημαίνω
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός

Ezek 33:4
καὶ C--------- καί
ἀκούσῃ VA--AAS3S- ἀκούω
ὁ RA--NSM--- ὁ
ἀκούσας VA--AAPNSM ἀκούω
τὴν RA--ASF--- ὁ
φωνὴν N1--ASF--- φωνή
τῆς RA--GSF--- ὁ
σάλπιγγος N3G-GSF--- σάλπιγξ
καὶ C--------- καί
μὴ D--------- μή
φυλάξηται VA--AMS3S- φυλάσσω
καὶ C--------- καί
ἐπέλθῃ VB--AAS3S- ἔρχομαι ἐπι
ἡ RA--NSF--- ὁ
ῤομφαία N1A-NSF--- ῤομφαία
καὶ C--------- καί
καταλάβῃ VB--AAS3S- λαμβάνω κατα
αὐτόν RD--ASM--- αὐτός
τὸ RA--ASN--- ὁ
αἷμα N3M-ASN--- αἷμα
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κεφαλῆς N1--GSF--- κεφαλή
αὐτοῦ RD--GSM--- αὐτός
ἔσται VF--FMI3S- εἰμί

Ezek 33:5
ὅτι C--------- ὅτι
τὴν RA--ASF--- ὁ
φωνὴν N1--ASF--- φωνή
τῆς RA--GSF--- ὁ
σάλπιγγος N3G-GSF--- σάλπιγξ
ἀκούσας VA--AAPNSM ἀκούω
οὐκ D--------- οὐ
